Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Size category,Capital city,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,percentage situations
Poland,Ukraine grain protests,23-Apr,Free,European Commission policies to allow Ukrainian farmers to export grains through EU countries—intended to counteract the reduction in grain exports caused by Russian blockades of Ukrainian Black Sea ports—resulted in a glut of Ukrainian grains in Polish markets.,Anger over lowered prices of domestically-produced grains and lower availability of local warehouses.,>100,Farmers,1 week,"The European Commission announced an agreement with Hungary, Slovakia, Romania, Bulgaria, and Poland to provide €100 million in compensation to their local farmers and require that certain Ukrainian exports can only enter those five countries if it is already bound for another destination. When the deal expired in September, Poland continued to bar Ukrainian grain.",Hundreds,Warsaw,0,X,X,0,X,0,0,0,0,"10000,00%"
Romania,Ukraine grain protests,23-Apr,Free,European Commission policies to allow Ukrainian farmers to export grains through EU countries—intended to counteract the reduction in grain exports caused by Russian blockades of Ukrainian Black Sea ports—resulted in a glut of Ukrainian grains in Romanian markets.,Anger over lowered prices of domestically-produced grains and lower availability of local warehouses.,">1,000",Farmers,1 day,"On April 28, the European Commission announced an agreement in principle with Hungary, Slovakia, Romania, Bulgaria, and Poland to provide €100 million in compensation to their local farmers and require that Ukrainian exports of wheat, maize, oilseed, and sunflower seed can only enter those five countries if it is already bound for another destination.",Thousands,Bucharest,0,X,X,0,X,0,0,0,0,"100,00%"
Sri Lanka,Easter bombing justice protest,23-Apr,Partly free,Sri Lankan officials had not convicted or sentenced anyone in connection with the April 2019 Easter bombings that killed 269 people and wounded some 500 more.,Anger over the slow pace of the investigation; grief over the human toll caused by the terrorist attacks.,">1,000",General public.,1 week,No policy/leadership change in response to protests.,Thousands,Colombo,0,0,X,0,0,0,0,0,0,"100,00%"
Syria,Anti-normalization protests,23-Apr,Not free,A number of Arab states moved to normalize relations with Syria and proposed returning Syria to the Arab League.,"Anger over the lack of accountability for the Assad regime for its war crimes during the Syrian Civil War, fear of heightened repression and conflict that would result from wider normalization of ties with Syria.",>100,Opposition forces in the northwest of Syria.,1 month,No policy/leadership change in response to the protests.,Hundreds,Damascus,0,0,X,0,0,0,0,0,0,"10000,00%"
Tunisia,Nizar Issaoui protests,23-Apr,Partly free,"Nizar Issaoui, a Tunisian soccer player, died by self-immolation to protest abuse by Tunisian police officers. Issaoui claimed that police accused him of terrorism when he complained about the price of bananas.",Anger over police abuse.,>100,General public.,2 days,No policy/leadership change in response to protests.,Hundreds,Tunis,0,0,X,0,0,0,0,0,0,"10000,00%"
Uganda,Police brutality protest,23-Apr,Not free,"According to protesters, Ugandan police used excessive force to disperse various functions organized by female lawmakers in their local constituencies in the weeks prior.","Anger over perceieved police brutality and excessive force, especially against women.",<100,Female opposition lawmakers.,1 day,No policy/leadership change in response to protest.,Tens,Kampala,0,0,X,0,0,0,0,0,0,<100
United Kingdom,Extinction Rebellion protests,23-Apr,Free,Movement organizers called for a mass demonstration to coincide with Earth Day 2023.,Fears that an environmental catastrophe would result from a lack of drastic action to combat climate change.,">1,000",Climate activists.,1 month,No policy/leadership change in response to protests.,Thousands,London,0,0,X,0,0,0,0,0,0,"100,00%"
Belgium,Fuel price protest,22-Sep,Free,"Rapidly ising prices, especially of fuel.","Frustrations over falling standard of living, rising profits for energy companies, and stagnating wages.",10,General public.,1 day,No policy/leadership change in response to protest.,Tens of thousands,Brussels,0,X,X,0,0,0,0,0,0,"1000,00%"
Cameroon,Women's representation in peace talks protest,22-Sep,Not free,Continual violence in separatist struggle in west and terrorism on border with Nigeria.,Women's exclusion from peace talks.,>100,Women.,1 day,No policy/leadership change in response to protests.,Hundreds,Yaoundé,0,0,X,0,0,0,0,0,0,"10000,00%"
Colombia,2022 tax proposal protests,22-Sep,Partly free,President Gustavo Petro proposed economic and social reforms which were meant to increase taxes on high-earning individuals and combat inequality.,Fear of individual financial consequences of rising taxes.,">1,000",General public.,1 month,President Petro's proposal passed with slightly lower funding to expand the country's social safety net and slightly lower taxes on high-earning individuals.,Thousands,Bogota,0,0,X,0,0,0,0,0,0,"100,00%"
Cuba,Hurricane Ian protests,22-Sep,Not free,Power outages caused by Hurricane Ian.,"Frustrations over slow government response to Hurricane Ian, fears of consequences of prolonged power outage, and anger over underinvestments in country's power grid.",400,General public.,5 days,No policy/leadership change in response to protests.,Hundreds,Havana,0,0,X,0,0,0,0,0,0,"40000,00%"
Czech Republic,Economic protests,22-Sep,Free,Skyrocketing energy prices; the government's policy of allowing entrance for Ukrainian refugees.,"Fears over rising prices; anti-establishment furore over the government's policies relating to COVID-19 measures; eurosceptic anger over the government's support for Ukraine, NATO, the EU, and other institutions.",70,"General public, especially the anti-establishment far right and far left.",1 day,No policy/leadership change in response to protests.,Tens of thousands,Prague,0,X,X,0,0,0,0,X,0,"7000,00%"
Ecuador,Femicide protests,22-Sep,Free,The disappearance and murder of 34-year-old lawyer María Belén Bernal.,Anger over high rates of femicide in the country.,>100,Women.,2 weeks,No policy/leadership change in response to protests.,Hundreds,Quito,0,0,X,0,0,0,0,0,0,"10000,00%"
Germany,Fuel price protests,22-Sep,Free,"Rising prices, especially of fuel.",Frustration with the government's pro-Ukraine policies; fears of worsening economic conditions and rising fuel prices.,">50,000",General public.,2 months,No policy/leadership change in response to protests.,Tens of thousands,Berlin,0,X,X,0,0,0,0,0,0,"5000,00%"
Hungary,Abortion law protests,22-Sep,Partly free,"The government amended the law to require healthcare providers to present women with evidence of life of the fetus, widely interpreted as a heartbeat, before proceeding with the abortion.","Backlash over conservative social policies implemented by the Fidesz-led government, including restrictions on women's rights, especially to safe abortion access.",">1,000",Women.,2 weeks,No policy/leadership change in response to protests.,Thousands,Budapest,0,0,X,0,0,0,0,0,0,"100,00%"
Indonesia,Fuel price hike protests,22-Sep,Partly free,The government increased subsidized fuel prices by 30%.,Rising inflation and high poverty.,">1,000",General public.,3 weeks,No policy/leadership change in response to protests.,Thousands,Jakarta,0,X,X,0,0,0,0,0,0,"100,00%"
Iran,Mahsa Amini protests,22-Sep,Not free,Morality police arrested 22-year-old Mahsa Amini for violating the country's hijab law; she died in custody.,"Frustrations with the country's strict morality laws, the abuses of the morality police, and the lack of freedoms for women.",">10,000",Women.,10 months,The protests sparked an international women's rights movement.,Tens of thousands,Tehran,0,0,X,0,0,0,X,X,0,"1000,00%"
Italy,Access to abortion protests,22-Sep,Free,The victory of far right parties in the country's general election.,Fears that a right-wing government would restrict access to abortion.,">1,000",Women.,1 day,No policy/leadership change in response to protest.,Thousands,Rome,0,0,X,0,0,0,0,0,0,"100,00%"
Morocco,Abortion access protests,22-Sep,Partly free,"The death of a 14-year-old girl named Meriem who had been raped; she died on September 6 of an unsafe, illegal abortion.",Anger over lack of access to safe abortion in Morocco.,>100,Women.,2 weeks,No policy/leadership change in response to protests.,Hundreds,Rabat,0,0,X,0,0,0,0,0,0,"10000,00%"
Pakistan,Kissan Ittehad protests,22-Sep,Partly free,A government hike in electricity tariffs; high inflation.,Fears of financial ruin for farmers in the wake of catestrophic flooding.,25,Farmers.,1 week,"The government conceded to protester demands, agreeing to cancel fuel adjustment charges and delay the payment of electricity bills.",Tens of thousands,Islamabad,0,X,X,0,0,0,0,0,0,"2500,00%"
Slovakia,Fuel price protest,22-Sep,Free,"Rising prices, especially of fuel.",Discontent with government support for Ukraine; fears of energy insecurity resulting from war in Ukraine.,5,General public.,1 day,No policy/leadership change in response to protest.,Thousands,Bratislava,0,X,X,0,0,0,0,0,0,"500,00%"
South Africa,Water shortage protest,22-Sep,Free,Water shortages across the country.,Frustrations over high poverty and inequality; fears of consequences of climate change.,>100,General public.,3 days,No policy/leadership change in response to protests.,Hundreds,"Pretoria, Cape Town, Bloemfontein",0,X,X,0,0,0,0,0,0,"10000,00%"
Spain,Cost of living protests,22-Sep,Free,Rapidly rising prices.,Fears of economic harship as wage increases were failing to compensate for price increases.,">17,000",General public.,2 months,No policy/leadership change in response to protests.,Tens of thousands,Madrid,0,X,0,0,0,0,0,0,0,"1700,00%"
Spain,Prostitution bill protest,22-Sep,Free,Parliament introduced a bill that would penalize prostitution customers and sex club owners or pimps with sentences up to 4 years in prison,Fears of losing livelihood among sex workers.,">1,000","Women, especially sex workers and brothel owners.",1 day,No policy/leadership change in response to protests.,Thousands,Madrid,0,X,X,0,0,0,0,0,0,"100,00%"
Tunisia,2022 police brutality protests,22-Sep,Partly free,"Authorities shot and killed Moshen Zeyani, 23, on the suspicion that he was smuggling cigarettes; a month later, Malek Selimi, 24, died from injuries sustained during a police chase.",Anger over police tactics that demonstrators find to be brutal and excessive.,>100,General public.,2 months,No policy/leadership change in response to protests.,Hundreds,Tunis,0,0,X,0,0,0,0,0,0,"10000,00%"
